timestamp_utc,asset_id,event_type,failure_mode
2026-04-03T00:00:00+00:00,CMP-001,DEGRADATION_START,bearing_wear
2026-04-07T00:00:00+00:00,CMP-001,FAILURE_IMMINENT,bearing_wear
2026-04-07T08:00:00+00:00,CMP-001,MAINTENANCE_COMPLETED,
2026-04-04T00:00:00+00:00,CMP-002,DEGRADATION_START,valve_leak
2026-04-06T12:00:00+00:00,CMP-002,FAILURE_IMMINENT,valve_leak
2026-04-06T18:00:00+00:00,CMP-002,MAINTENANCE_COMPLETED,
2026-04-03T08:00:00+00:00,MTR-001,DEGRADATION_START,thermal_runaway
2026-04-07T02:00:00+00:00,MTR-001,FAILURE_IMMINENT,thermal_runaway
2026-04-07T06:00:00+00:00,MTR-001,MAINTENANCE_COMPLETED,
2026-04-05T00:00:00+00:00,MTR-002,DEGRADATION_START,misalignment
2026-04-07T10:00:00+00:00,MTR-002,FAILURE_IMMINENT,misalignment
2026-04-07T14:00:00+00:00,MTR-002,MAINTENANCE_COMPLETED,
